time,temperature_mean,temperature_p50,temperature_p95,precipitation_total,rainy_days_count,wind_speed_mean,pm2_5_mean,polluted_days_count,qa_flags,AQI_index_100
2024-01-01 00:00:00+07:00,28.51,28.0,34.85,0.3,0,7.67,24.73,0,,109.39
2024-02-01 00:00:00+07:00,29.33,28.5,35.94,1.4,1,11.88,14.04,0,,62.09
2024-03-01 00:00:00+07:00,30.06,29.0,36.0,1.5,0,13.35,16.38,0,,72.44
2024-04-01 00:00:00+07:00,31.61,30.5,37.55,7.6,2,13.12,12.49,0,,55.22
2024-05-01 00:00:00+07:00,31.0,31.0,37.0,213.8,23,10.55,20.02,0,,88.52
2024-06-01 00:00:00+07:00,29.69,29.0,35.85,203.7,24,11.67,26.6,0,,117.63
2024-07-01 00:00:00+07:00,28.32,28.0,34.0,375.9,30,14.14,24.3,0,,107.48
2024-08-01 00:00:00+07:00,29.19,28.0,34.92,139.6,22,11.58,25.86,0,MISSING-1,114.39
2024-09-01 00:00:00+07:00,28.01,27.75,34.0,352.0,26,12.31,19.58,0,MISSING-1,86.58
2024-10-01 00:00:00+07:00,27.9,27.0,33.92,340.0,27,8.72,27.19,0,,120.27
2024-11-01 00:00:00+07:00,28.48,28.25,33.93,98.2,15,8.43,30.22,0,,133.64
2024-12-01 00:00:00+07:00,27.15,27.0,32.0,80.1,10,8.35,29.93,1,MISSING-1,132.36
